Disease,Symptoms
Candidiasis,"Swollen skin;Flaky skin;Red, sore skin"
Acne,Pimples;Inflamed skin
Benign Tumors,Non-cancerous growths;Soft lumps
Warts,Raised growths;Bumps on skin
Lupus,Mouth sores;Sensitivity to sunlight;Scaly skin;Butterfly-shaped rash
Lupus,Sensitivity to sunlight;Red patches;Scaly skin;Mouth sores
Acne,Cystic acne;Inflamed skin;Oily skin;Blackheads;Pimples
Vitiligo,Loss of pigmentation;Lightened skin
Actinic Keratosis,"Sun damage;Dry, scaly patches;Itchy spots;Red or brown spots"
Vascular Tumors,Swelling;Painful nodules;Visible blood vessels
Acne,Blackheads;Inflamed skin;Pimples
Skin Cancer,Changes in existing moles;Irregular borders;Asymmetrical growth
Warts,Bumps on skin;Hard lumps;Itchy warts;Raised growths
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Candidiasis,"Itchy rash;Flaky skin;Red, sore skin;White patches"
Rosacea,Burning sensation;Eye irritation;Redness;Pimple-like bumps
Acne,Oily skin;Pimples;Blackheads
Moles,Raised moles;Multicolored moles;Itchy moles
Infestations/Bites,Itchy rash;Lice;Visible bites;Wheals
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Acne,Cystic acne;Whiteheads;Pimples
Unknown/Normal Variants,No symptoms;Minor blemishes
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Candidiasis,"Red, sore skin;Swollen skin;Flaky skin;White patches;Itchy rash"
Infestations/Bites,Lice;Wheals;Swollen red spots
Moles,Irregular border;Itchy moles
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Lupus,Mouth sores;Butterfly-shaped rash
Rosacea,Eye irritation;Visible blood vessels;Redness;Pimple-like bumps
Skin Cancer,Asymmetrical growth;Changes in existing moles;Irregular borders;New growths
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Infestations/Bites,Visible bites;Itchy rash;Swollen red spots;Lice
Psoriasis,Dry cracked skin;Itchy patches;Red skin
Drug Eruption,Hives;Fever
Lichen Planus,Inflammation;White lines;Itchy lesions
Eczema,Dry patches;Swollen skin
Vasculitis,Rash;Skin sores
Lichen Planus,Inflammation;Purple flat-topped bumps
Acne,Oily skin;Blackheads;Cystic acne;Whiteheads
Sun/Sunlight Damage,Rough patches;Wrinkles;Sunburn;Freckles;Dark spots
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Lupus,Butterfly-shaped rash;Sensitivity to sunlight
Acne,Oily skin;Whiteheads;Blackheads;Pimples
Skin Cancer,Changes in existing moles;Asymmetrical growth
Vascular Tumors,Painful nodules;Red or purple spots;Visible blood vessels
Lupus,Butterfly-shaped rash;Mouth sores;Red patches;Scaly skin;Sensitivity to sunlight
Infestations/Bites,Wheals;Lice;Itchy rash;Swollen red spots
Skin Cancer,Asymmetrical growth;New growths
Skin Cancer,Bleeding lesions;Changes in existing moles;Irregular borders;New growths;Asymmetrical growth
Lichen Planus,Inflammation;White lines
Sun/Sunlight Damage,Sunburn;Dark spots;Wrinkles
Moles,Itchy moles;Dark spots;Multicolored moles;Raised moles
Lichen Planus,White lines;Purple flat-topped bumps;Itchy lesions
Candidiasis,"Red, sore skin;Flaky skin;White patches;Itchy rash"
Vitiligo,Lightened skin;White patches;Loss of pigmentation;Irregular skin color
Lupus,Butterfly-shaped rash;Scaly skin;Sensitivity to sunlight
Psoriasis,Thickened nails;Dry cracked skin
Skin Cancer,Bleeding lesions;Asymmetrical growth;New growths
Lichen Planus,Inflammation;Purple flat-topped bumps;Itchy lesions;White lines
Vascular Tumors,Painful nodules;Visible blood vessels
Rosacea,Visible blood vessels;Burning sensation
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Vitiligo,Lightened skin;Loss of pigmentation;Irregular skin color;White patches
Benign Tumors,Soft lumps;Flesh-colored bumps
Acne,Oily skin;Cystic acne;Inflamed skin;Blackheads;Pimples
Vasculitis,Swollen blood vessels;Red or purple patches;Rash;Fever;Skin sores
Eczema,Swollen skin;Dry patches;Blisters
Vitiligo,Lightened skin;Loss of pigmentation
Lupus,Red patches;Sensitivity to sunlight
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules;Red or purple spots
Candidiasis,"Itchy rash;Swollen skin;Flaky skin;Red, sore skin"
Skin Cancer,Asymmetrical growth;Bleeding lesions;Changes in existing moles;New growths
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Vascular Tumors,Red or purple spots;Painful nodules;Swelling;Visible blood vessels
Skin Cancer,Changes in existing moles;New growths
Candidiasis,White patches;Itchy rash;Flaky skin;Swollen skin
Rosacea,Redness;Eye irritation
Infestations/Bites,Wheals;Itchy rash;Visible bites
Acne,Inflamed skin;Pimples;Whiteheads;Oily skin
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Eczema,Itchy skin;Blisters;Swollen skin
Psoriasis,Dry cracked skin;Itchy patches;Thickened nails
Rosacea,Eye irritation;Burning sensation;Redness;Pimple-like bumps;Visible blood vessels
Sun/Sunlight Damage,Dark spots;Rough patches;Sunburn;Freckles
Skin Cancer,New growths;Asymmetrical growth;Changes in existing moles;Irregular borders;Bleeding lesions
Vitiligo,Irregular skin color;Lightened skin
Skin Cancer,Irregular borders;Asymmetrical growth;Bleeding lesions;Changes in existing moles;New growths
Eczema,Swollen skin;Cracked skin
Lichen Planus,Inflammation;White lines
Moles,Multicolored moles;Irregular border
Infestations/Bites,Visible bites;Lice;Swollen red spots;Wheals;Itchy rash
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Rosacea,Redness;Eye irritation;Visible blood vessels;Pimple-like bumps;Burning sensation
Drug Eruption,Red spots;Fever
Actinic Keratosis,"Itchy spots;Red or brown spots;Sun damage;Dry, scaly patches"
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Moles,Irregular border;Dark spots
Rosacea,Visible blood vessels;Eye irritation
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Lupus,Scaly skin;Sensitivity to sunlight;Red patches;Butterfly-shaped rash;Mouth sores
Acne,Blackheads;Oily skin;Pimples;Whiteheads;Inflamed skin
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Candidiasis,"Swollen skin;Red, sore skin;Itchy rash;White patches;Flaky skin"
Sun/Sunlight Damage,Wrinkles;Dark spots;Sunburn;Freckles;Rough patches
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Rosacea,Eye irritation;Visible blood vessels;Pimple-like bumps;Redness;Burning sensation
Warts,Bumps on skin;Rough texture;Raised growths;Hard lumps
Moles,Dark spots;Itchy moles
Tinea,"Burning sensation;Blisters;Red, ring-shaped rash;Itchy rash;Peeling skin"
Vasculitis,Red or purple patches;Skin sores;Swollen blood vessels;Fever;Rash
Skin Cancer,Changes in existing moles;Asymmetrical growth;Bleeding lesions;Irregular borders
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Vasculitis,Red or purple patches;Fever;Rash;Swollen blood vessels;Skin sores
Psoriasis,Itchy patches;Scaly skin;Thickened nails
Moles,Raised moles;Multicolored moles;Dark spots
Moles,Raised moles;Multicolored moles
Vitiligo,Loss of pigmentation;White patches;Lightened skin;Irregular skin color
Tinea,"Burning sensation;Blisters;Itchy rash;Red, ring-shaped rash;Peeling skin"
Lichen Planus,White lines;Itchy lesions;Purple flat-topped bumps;Inflammation
Candidiasis,"Swollen skin;Red, sore skin;Flaky skin"
Candidiasis,Swollen skin;Itchy rash;Flaky skin
Acne,Inflamed skin;Oily skin;Blackheads;Whiteheads
Sun/Sunlight Damage,Dark spots;Rough patches
Bullous Disorders,Itchy blisters;Painful blisters
Moles,Itchy moles;Irregular border;Raised moles;Multicolored moles;Dark spots
Vitiligo,Irregular skin color;Loss of pigmentation;White patches;Lightened skin
Eczema,Dry patches;Blisters;Redness;Itchy skin;Cracked skin
Psoriasis,Itchy patches;Thickened nails;Dry cracked skin;Scaly skin
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Actinic Keratosis,Red or brown spots;Sun damage
Vitiligo,Loss of pigmentation;Irregular skin color;Lightened skin
Vascular Tumors,Visible blood vessels;Red or purple spots;Swelling;Painful nodules
Acne,Blackheads;Whiteheads
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Vascular Tumors,Red or purple spots;Visible blood vessels
Lichen Planus,White lines;Itchy lesions;Inflammation;Purple flat-topped bumps
Vitiligo,Loss of pigmentation;Lightened skin;White patches;Irregular skin color
Psoriasis,Thickened nails;Dry cracked skin
Moles,Multicolored moles;Dark spots;Raised moles;Itchy moles;Irregular border
Skin Cancer,Changes in existing moles;Bleeding lesions
Vasculitis,Swollen blood vessels;Fever;Red or purple patches
Actinic Keratosis,"Dry, scaly patches;Itchy spots;Sun damage"
Vasculitis,Fever;Swollen blood vessels;Red or purple patches;Skin sores;Rash
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Bullous Disorders,Painful blisters;Itchy blisters
Drug Eruption,Itching;Red spots
Tinea,Itchy rash;Peeling skin
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Drug Eruption,Fever;Rash;Itching;Red spots;Hives
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Vasculitis,Rash;Swollen blood vessels
Vitiligo,Irregular skin color;Loss of pigmentation;White patches
Unknown/Normal Variants,Normal pigmentation;Minor blemishes
Candidiasis,Flaky skin;Swollen skin
Moles,Dark spots;Multicolored moles
Lichen Planus,Purple flat-topped bumps;Inflammation;White lines;Itchy lesions
Lupus,Mouth sores;Butterfly-shaped rash;Scaly skin
Lupus,Red patches;Mouth sores
Rosacea,Visible blood vessels;Eye irritation;Redness
Skin Cancer,Asymmetrical growth;New growths;Irregular borders
Acne,Oily skin;Inflamed skin;Pimples;Cystic acne
Benign Tumors,Soft lumps;Non-cancerous growths
Eczema,Swollen skin;Dry patches
Acne,Blackheads;Cystic acne;Pimples;Oily skin
Psoriasis,Thickened nails;Red skin;Itchy patches;Dry cracked skin
Lupus,Red patches;Scaly skin;Sensitivity to sunlight;Mouth sores;Butterfly-shaped rash
Tinea,Itchy rash;Peeling skin;Burning sensation;Blisters
Psoriasis,Thickened nails;Itchy patches;Scaly skin
Skin Cancer,Asymmetrical growth;Bleeding lesions;New growths
Drug Eruption,Hives;Swelling;Itching;Red spots
Actinic Keratosis,"Sun damage;Dry, scaly patches;Crusting;Itchy spots"
Candidiasis,White patches;Flaky skin;Itchy rash
Sun/Sunlight Damage,Freckles;Dark spots
Tinea,Itchy rash;Peeling skin;Blisters
Psoriasis,Itchy patches;Dry cracked skin
Actinic Keratosis,"Sun damage;Red or brown spots;Itchy spots;Dry, scaly patches"
Eczema,Cracked skin;Redness;Dry patches
Candidiasis,"Flaky skin;Red, sore skin;Itchy rash"
Eczema,Swollen skin;Blisters;Itchy skin
Tinea,"Peeling skin;Blisters;Itchy rash;Red, ring-shaped rash;Burning sensation"
Lichen Planus,White lines;Itchy lesions;Purple flat-topped bumps;Inflammation
Skin Cancer,Changes in existing moles;New growths;Bleeding lesions;Irregular borders
Vitiligo,Loss of pigmentation;Irregular skin color;Lightened skin
Actinic Keratosis,Sun damage;Red or brown spots
Candidiasis,"Swollen skin;Red, sore skin;White patches;Itchy rash;Flaky skin"
Vasculitis,Fever;Skin sores;Red or purple patches;Rash
Candidiasis,"Flaky skin;Swollen skin;Red, sore skin;Itchy rash;White patches"
Moles,Itchy moles;Irregular border;Multicolored moles
Acne,Pimples;Oily skin;Blackheads;Cystic acne;Whiteheads
Vasculitis,Red or purple patches;Skin sores;Rash;Swollen blood vessels
Unknown/Normal Variants,No symptoms;Normal pigmentation
Vitiligo,Loss of pigmentation;Irregular skin color
Tinea,"Burning sensation;Red, ring-shaped rash"
Drug Eruption,Red spots;Hives;Rash;Fever;Itching
Sun/Sunlight Damage,Freckles;Wrinkles;Sunburn
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Lichen Planus,Itchy lesions;Inflammation;White lines;Purple flat-topped bumps
Lupus,Scaly skin;Mouth sores;Sensitivity to sunlight;Butterfly-shaped rash;Red patches
Infestations/Bites,Wheals;Visible bites;Lice
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots;Brown, black, or light-colored growths"
Lupus,Red patches;Sensitivity to sunlight;Scaly skin;Mouth sores;Butterfly-shaped rash
Acne,Pimples;Cystic acne;Oily skin
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Acne,Blackheads;Inflamed skin;Whiteheads
Vitiligo,White patches;Lightened skin;Irregular skin color;Loss of pigmentation
Drug Eruption,Red spots;Swelling;Itching;Rash
Infestations/Bites,Lice;Visible bites;Swollen red spots;Wheals;Itchy rash
Rosacea,Visible blood vessels;Redness
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Skin Cancer,Bleeding lesions;Irregular borders;Asymmetrical growth;Changes in existing moles;New growths
Lichen Planus,White lines;Purple flat-topped bumps;Itchy lesions
Acne,Cystic acne;Inflamed skin;Oily skin
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Sun/Sunlight Damage,Freckles;Sunburn;Rough patches
Moles,Raised moles;Multicolored moles;Itchy moles;Irregular border
Psoriasis,Thickened nails;Dry cracked skin;Scaly skin;Itchy patches;Red skin
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Actinic Keratosis,"Itchy spots;Dry, scaly patches;Sun damage;Crusting;Red or brown spots"
Tinea,"Red, ring-shaped rash;Itchy rash;Blisters"
Skin Cancer,New growths;Changes in existing moles
Drug Eruption,Swelling;Red spots
Psoriasis,Scaly skin;Thickened nails;Itchy patches;Dry cracked skin
Lupus,Scaly skin;Red patches
Candidiasis,"Red, sore skin;Itchy rash;White patches"
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Lupus,Sensitivity to sunlight;Scaly skin;Butterfly-shaped rash;Mouth sores
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Skin Cancer,Changes in existing moles;New growths;Bleeding lesions
Vitiligo,White patches;Loss of pigmentation
Candidiasis,"Flaky skin;Red, sore skin;White patches;Itchy rash"
Moles,Multicolored moles;Raised moles;Dark spots;Irregular border;Itchy moles
Lupus,Butterfly-shaped rash;Scaly skin;Mouth sores;Red patches
Acne,Inflamed skin;Whiteheads;Blackheads
Skin Cancer,Irregular borders;Bleeding lesions;Changes in existing moles;New growths;Asymmetrical growth
Warts,Itchy warts;Rough texture;Hard lumps;Bumps on skin;Raised growths
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Drug Eruption,Red spots;Hives;Swelling
Vascular Tumors,Painful nodules;Visible blood vessels
Eczema,Itchy skin;Cracked skin;Swollen skin
Vascular Tumors,Painful nodules;Red or purple spots
Actinic Keratosis,"Sun damage;Dry, scaly patches;Itchy spots"
Infestations/Bites,Swollen red spots;Itchy rash;Visible bites;Lice
Sun/Sunlight Damage,Freckles;Sunburn
Sun/Sunlight Damage,Freckles;Rough patches;Dark spots
Vitiligo,White patches;Loss of pigmentation;Lightened skin;Irregular skin color
Benign Tumors,Non-cancerous growths;Soft lumps
Candidiasis,"Itchy rash;Red, sore skin"
Vitiligo,Loss of pigmentation;White patches;Lightened skin;Irregular skin color
Skin Cancer,Asymmetrical growth;Irregular borders
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Scaly skin;Red patches;Mouth sores
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Psoriasis,Scaly skin;Red skin;Dry cracked skin;Itchy patches
Lichen Planus,White lines;Inflammation;Itchy lesions
Eczema,Redness;Dry patches
Infestations/Bites,Wheals;Lice;Visible bites
Psoriasis,Thickened nails;Itchy patches;Scaly skin;Red skin;Dry cracked skin
Lupus,Scaly skin;Sensitivity to sunlight;Mouth sores;Butterfly-shaped rash;Red patches
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Candidiasis,Flaky skin;White patches;Itchy rash
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Eczema,Swollen skin;Blisters;Itchy skin
Skin Cancer,Bleeding lesions;Asymmetrical growth;Changes in existing moles;Irregular borders
Warts,Itchy warts;Bumps on skin;Hard lumps
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Lupus,Mouth sores;Red patches;Scaly skin
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Skin Cancer,Asymmetrical growth;Bleeding lesions;New growths;Changes in existing moles
Lupus,Scaly skin;Butterfly-shaped rash;Red patches
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Vitiligo,White patches;Loss of pigmentation;Lightened skin
Unknown/Normal Variants,No symptoms;Minor blemishes
Acne,Oily skin;Pimples
Candidiasis,Itchy rash;Swollen skin;White patches;Flaky skin
Rosacea,Redness;Burning sensation;Eye irritation
Candidiasis,"Flaky skin;Red, sore skin;Swollen skin;Itchy rash;White patches"
Lupus,Mouth sores;Butterfly-shaped rash
Rosacea,Visible blood vessels;Pimple-like bumps;Redness
Moles,Multicolored moles;Irregular border;Itchy moles
Bullous Disorders,Itchy blisters;Painful blisters
Bullous Disorders,Painful blisters;Itchy blisters
Vitiligo,White patches;Lightened skin
Sun/Sunlight Damage,Dark spots;Freckles;Wrinkles;Rough patches
Eczema,Redness;Swollen skin;Dry patches;Blisters
Vascular Tumors,Swelling;Painful nodules
Warts,Hard lumps;Itchy warts;Rough texture
Skin Cancer,Changes in existing moles;Bleeding lesions;New growths;Asymmetrical growth
Psoriasis,Thickened nails;Itchy patches;Red skin
Psoriasis,Itchy patches;Thickened nails;Scaly skin
Rosacea,Visible blood vessels;Eye irritation;Redness;Pimple-like bumps;Burning sensation
Actinic Keratosis,"Sun damage;Red or brown spots;Dry, scaly patches;Itchy spots;Crusting"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Rosacea,Eye irritation;Pimple-like bumps;Visible blood vessels
Sun/Sunlight Damage,Wrinkles;Dark spots;Rough patches;Sunburn;Freckles
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Actinic Keratosis,Crusting;Red or brown spots
Unknown/Normal Variants,Normal pigmentation;No symptoms
Candidiasis,White patches;Swollen skin
Moles,Itchy moles;Raised moles;Multicolored moles
Moles,Dark spots;Irregular border;Itchy moles;Multicolored moles
Candidiasis,"Red, sore skin;Swollen skin"
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Acne,Inflamed skin;Pimples;Oily skin
Benign Tumors,Soft lumps;Non-cancerous growths;Flesh-colored bumps
Eczema,Cracked skin;Blisters
Vitiligo,Lightened skin;Loss of pigmentation;Irregular skin color;White patches
Unknown/Normal Variants,Minor blemishes;No symptoms
Tinea,"Burning sensation;Red, ring-shaped rash;Blisters"
Vascular Tumors,Painful nodules;Visible blood vessels;Red or purple spots
Vasculitis,Red or purple patches;Rash;Fever;Swollen blood vessels
Eczema,Dry patches;Redness;Itchy skin;Swollen skin
Vasculitis,Swollen blood vessels;Fever;Red or purple patches;Rash
Sun/Sunlight Damage,Wrinkles;Rough patches;Dark spots
Actinic Keratosis,"Sun damage;Crusting;Itchy spots;Dry, scaly patches"
Lupus,Scaly skin;Red patches;Sensitivity to sunlight;Mouth sores
Eczema,Itchy skin;Swollen skin;Redness;Cracked skin;Blisters
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Bullous Disorders,Itchy blisters;Painful blisters
Sun/Sunlight Damage,Rough patches;Dark spots
Moles,Multicolored moles;Dark spots
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Warts,Hard lumps;Rough texture;Itchy warts;Bumps on skin
Lichen Planus,Inflammation;Purple flat-topped bumps;White lines
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Actinic Keratosis,"Sun damage;Crusting;Itchy spots;Dry, scaly patches;Red or brown spots"
Infestations/Bites,Lice;Swollen red spots;Itchy rash;Wheals
Candidiasis,Flaky skin;Swollen skin
Skin Cancer,Asymmetrical growth;Bleeding lesions;Irregular borders;New growths
Vascular Tumors,Swelling;Visible blood vessels
Moles,Irregular border;Multicolored moles
Infestations/Bites,Itchy rash;Lice;Swollen red spots;Wheals;Visible bites
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Tinea,Peeling skin;Blisters
Vasculitis,Red or purple patches;Rash;Fever;Swollen blood vessels;Skin sores
Vitiligo,Lightened skin;White patches;Irregular skin color;Loss of pigmentation
Infestations/Bites,Visible bites;Lice;Itchy rash;Wheals
Acne,Whiteheads;Oily skin;Inflamed skin;Pimples
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Tinea,"Burning sensation;Red, ring-shaped rash;Peeling skin;Itchy rash"
Tinea,"Blisters;Red, ring-shaped rash"
Lichen Planus,Inflammation;Purple flat-topped bumps
Skin Cancer,Bleeding lesions;Irregular borders;Asymmetrical growth;New growths
Vitiligo,Loss of pigmentation;Lightened skin;White patches;Irregular skin color
Rosacea,Eye irritation;Redness
Actinic Keratosis,"Sun damage;Dry, scaly patches;Itchy spots;Crusting"
Bullous Disorders,Itchy blisters;Painful blisters
Moles,Irregular border;Raised moles;Itchy moles;Dark spots;Multicolored moles
Eczema,Cracked skin;Blisters;Itchy skin
Bullous Disorders,Itchy blisters;Painful blisters
Actinic Keratosis,"Dry, scaly patches;Crusting;Red or brown spots;Itchy spots;Sun damage"
Unknown/Normal Variants,No symptoms;Minor blemishes
Vascular Tumors,Swelling;Red or purple spots;Painful nodules;Visible blood vessels
Actinic Keratosis,Crusting;Sun damage;Itchy spots;Red or brown spots
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Drug Eruption,Itching;Red spots;Swelling;Fever
Vitiligo,Lightened skin;Irregular skin color;White patches;Loss of pigmentation
Rosacea,Eye irritation;Visible blood vessels
Vascular Tumors,Swelling;Visible blood vessels
Rosacea,Pimple-like bumps;Redness;Visible blood vessels;Burning sensation;Eye irritation
Acne,Cystic acne;Inflamed skin
Sun/Sunlight Damage,Rough patches;Wrinkles;Sunburn
Psoriasis,Thickened nails;Scaly skin;Red skin;Itchy patches
Eczema,Cracked skin;Dry patches;Itchy skin;Swollen skin;Redness
Lichen Planus,Purple flat-topped bumps;Inflammation;Itchy lesions;White lines
Benign Tumors,Soft lumps;Flesh-colored bumps
Actinic Keratosis,"Crusting;Dry, scaly patches;Red or brown spots;Itchy spots;Sun damage"
Psoriasis,Scaly skin;Dry cracked skin;Itchy patches;Thickened nails;Red skin
Vascular Tumors,Visible blood vessels;Red or purple spots;Swelling
Rosacea,Eye irritation;Redness;Visible blood vessels;Pimple-like bumps
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn;Freckles
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Tinea,"Red, ring-shaped rash;Blisters"
Lichen Planus,Purple flat-topped bumps;Inflammation;Itchy lesions;White lines
Sun/Sunlight Damage,Sunburn;Rough patches;Freckles
Vitiligo,Lightened skin;Loss of pigmentation
Acne,Cystic acne;Blackheads;Oily skin;Whiteheads;Inflamed skin
Candidiasis,Itchy rash;White patches;Swollen skin
Vasculitis,Red or purple patches;Swollen blood vessels;Fever
Actinic Keratosis,"Dry, scaly patches;Sun damage;Crusting;Itchy spots"
Rosacea,Eye irritation;Burning sensation;Redness
Vascular Tumors,Painful nodules;Red or purple spots
Skin Cancer,Asymmetrical growth;Changes in existing moles;Bleeding lesions;Irregular borders;New growths
Unknown/Normal Variants,Minor blemishes;No symptoms
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Drug Eruption,Hives;Rash;Fever;Swelling;Red spots
Drug Eruption,Itching;Fever;Rash
Candidiasis,"Red, sore skin;Itchy rash;Flaky skin;White patches;Swollen skin"
Tinea,"Burning sensation;Blisters;Itchy rash;Peeling skin;Red, ring-shaped rash"
Vascular Tumors,Swelling;Red or purple spots;Visible blood vessels;Painful nodules
Rosacea,Eye irritation;Visible blood vessels;Burning sensation;Redness;Pimple-like bumps
Skin Cancer,Irregular borders;New growths;Bleeding lesions;Changes in existing moles
Rosacea,Pimple-like bumps;Burning sensation;Redness
Warts,Itchy warts;Hard lumps;Bumps on skin;Raised growths;Rough texture
Actinic Keratosis,"Dry, scaly patches;Itchy spots;Crusting;Sun damage;Red or brown spots"
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Vitiligo,Lightened skin;Loss of pigmentation;Irregular skin color;White patches
Vascular Tumors,Painful nodules;Visible blood vessels;Swelling;Red or purple spots
Sun/Sunlight Damage,Rough patches;Dark spots
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Vascular Tumors,Swelling;Painful nodules
Vitiligo,Lightened skin;Loss of pigmentation;White patches;Irregular skin color
Skin Cancer,New growths;Asymmetrical growth;Changes in existing moles;Irregular borders
Sun/Sunlight Damage,Rough patches;Dark spots
Lupus,Red patches;Scaly skin;Butterfly-shaped rash;Sensitivity to sunlight
Vascular Tumors,Swelling;Visible blood vessels;Red or purple spots
Candidiasis,"Flaky skin;Itchy rash;White patches;Swollen skin;Red, sore skin"
Actinic Keratosis,"Itchy spots;Dry, scaly patches;Crusting;Red or brown spots;Sun damage"
Infestations/Bites,Lice;Visible bites;Wheals;Swollen red spots
Skin Cancer,Bleeding lesions;Irregular borders;Changes in existing moles;New growths;Asymmetrical growth
Acne,Oily skin;Blackheads
Eczema,Blisters;Cracked skin;Redness;Dry patches
Benign Tumors,Soft lumps;Flesh-colored bumps
Infestations/Bites,Lice;Itchy rash;Visible bites;Swollen red spots;Wheals
Drug Eruption,Hives;Swelling;Itching
Actinic Keratosis,"Sun damage;Dry, scaly patches;Crusting"
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Psoriasis,Red skin;Dry cracked skin
Skin Cancer,Changes in existing moles;New growths
Moles,Raised moles;Multicolored moles;Irregular border
Tinea,Itchy rash;Peeling skin
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Acne,Cystic acne;Whiteheads;Blackheads;Oily skin
Moles,Raised moles;Itchy moles;Multicolored moles;Irregular border;Dark spots
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Lupus,Mouth sores;Red patches;Scaly skin
Actinic Keratosis,"Dry, scaly patches;Sun damage;Red or brown spots"
Skin Cancer,Irregular borders;Asymmetrical growth;Bleeding lesions;Changes in existing moles;New growths
Psoriasis,Red skin;Scaly skin;Thickened nails;Dry cracked skin
Tinea,"Blisters;Red, ring-shaped rash"
Drug Eruption,Rash;Itching;Fever;Hives
Bullous Disorders,Itchy blisters;Painful blisters;Large fluid-filled blisters
Sun/Sunlight Damage,Sunburn;Dark spots
Moles,Itchy moles;Raised moles
Vitiligo,Lightened skin;White patches;Irregular skin color
Eczema,Blisters;Itchy skin;Cracked skin;Redness
Eczema,Redness;Swollen skin;Cracked skin;Dry patches
Warts,Bumps on skin;Raised growths;Rough texture;Itchy warts;Hard lumps
Unknown/Normal Variants,Normal pigmentation;No symptoms
Infestations/Bites,Swollen red spots;Visible bites;Lice;Wheals;Itchy rash
Skin Cancer,Changes in existing moles;Irregular borders;Bleeding lesions;Asymmetrical growth
Drug Eruption,Itching;Swelling
